T,rho,phi,Phi1,Phi2,mu,pressure,entropy,energy,converged
20.0,6.0,-0.9271533228051867,0.02025088446351099,0.02352665228632536,1.6806466812181973,18.361263611485185,0.07738964685271219,-8.26953984639228,1.0
20.0,5.99,-0.9311474251253261,0.020232107687515356,0.02350677513487063,1.6800541967914013,18.36069530010609,0.07730642011580105,-8.289335418901425,1.0
20.0,5.98,-0.9351622598587745,0.020213349327484503,0.023486921480500942,1.6794641010101032,18.360130224065855,0.0772233096956626,-8.309108081096763,1.0
20.0,5.97,-0.9391978346690879,0.02019460954765606,0.02346709154368146,1.6788764168786445,18.359568397713044,0.07714031636527413,-8.32885778164701,1.0
20.0,5.96,-0.9432541545144371,0.02017588850957902,0.02344728554288158,1.6782911673090215,18.35900983519775,0.07705744088199538,-8.348584470419347,1.0
20.0,5.95,-0.9473312216650701,0.020157186371962316,0.02342750369435378,1.6777083751128132,18.358454550464046,0.07697468398675511,-8.368288098590806,1.0
20.0,5.94,-0.9514290356695545,0.020138503290534737,0.023407746211908362,1.6771280629927185,18.357902557243083,0.07689204640272411,-8.38796861868625,1.0
20.0,5.93,-0.9555475933224116,0.020119839417916712,0.02338801330668873,1.6765502535339387,18.357353869045916,0.0768095288482529,-8.407625984616326,1.0
20.0,5.92,-0.9596868886323783,0.020101194903511577,0.02336830518695046,1.6759749691954597,18.356808499155022,0.07672713201152025,-8.4272601517161,1.0
20.0,5.91,-0.9638469127920546,0.020082569893406153,0.023348622057842355,1.6754022323011526,18.356266460616943,0.0766448565612461,-8.446871076783967,1.0
20.0,5.9,-0.9680276541479625,0.02006396453029143,0.023328964121199464,1.6748320650307824,18.355727766236047,0.07656270315972849,-8.466458718119746,1.0
